Date	below	above	total
2019-10-16	5	20	263
2019-10-17	5	18	263
2019-10-18	4	26	263
2019-10-21	5	22	263
2019-10-22	3	33	263
2019-10-23	6	35	263
2019-10-24	4	33	263
2019-10-25	3	30	263
2019-10-28	6	29	263
2019-10-29	15	56	413
2019-10-30	14	55	413
2019-10-31	15	48	413
2019-11-01	15	33	413
2019-11-04	10	53	413
2019-11-05	10	67	413
2019-11-06	10	67	413
2019-11-07	13	72	413
2019-11-08	13	83	413
2019-11-11	11	70	413
2019-11-12	10	23	413
2019-11-19	8	55	413
2019-11-20	7	48	413
2019-11-21	9	33	413
2019-11-25	6	17	413
2019-11-26	6	41	413
2019-11-27	2	33	413
2019-11-28	2	35	413
2019-11-29	2	38	413
2019-12-02	4	36	413
2019-12-03	7	18	413
2019-12-04	8	13	413
2019-12-05	7	19	413
2019-12-06	9	14	413
2019-12-09	3	26	413
2019-12-10	4	18	413
2019-12-11	4	21	413
2019-12-12	5	24	413
2019-12-13	7	47	413
2019-12-17	5	27	413
2019-12-18	3	59	413
2019-12-19	4	38	413
2019-12-20	2	45	413
2019-12-23	2	63	413
2019-12-24	3	56	413
2019-12-27	2	64	413
2019-12-31	0	12	413
2020-01-06	1	30	413
2020-01-07	5	35	413
2020-01-08	5	31	413
2020-01-09	7	41	413
2020-01-10	4	64	413
2020-01-13	7	48	413
2020-01-14	9	45	413
2020-01-15	9	49	413
2020-01-16	12	72	413
2020-01-17	12	87	413
2020-01-20	11	104	413
2020-01-21	13	106	413
2020-01-22	14	106	413
2020-01-23	21	93	413
2020-01-24	26	92	413
2020-01-27	32	71	413
2020-01-28	46	35	413
2020-01-29	34	45	413
2020-01-30	34	46	413
2020-01-31	41	52	413
2020-02-03	63	23	413
2020-02-04	62	27	413
2020-02-05	22	33	413
2020-02-07	8	28	413
2020-02-10	12	36	413
2020-02-11	10	43	413
2020-02-12	6	32	413
2020-02-13	2	59	413
2020-02-14	4	57	413
2020-02-17	4	67	413
2020-02-18	5	70	413
2020-02-19	4	60	413
2020-02-20	6	54	413
2020-02-21	2	42	413
2020-02-24	5	27	413
2020-02-25	45	11	413
2020-02-26	109	4	413
2020-02-27	126	3	413
2020-02-28	230	0	413
2020-03-02	274	0	413
2020-03-03	124	2	413
2020-03-04	134	2	413
2020-03-06	48	1	413
2020-03-09	132	2	413
2020-03-10	223	0	413
2020-03-11	146	0	413
2020-03-12	181	0	413
2020-03-13	286	0	413
2020-03-16	170	0	413
2020-03-17	247	1	413
2020-03-18	180	1	413
2020-03-20	75	0	413
2020-03-23	178	0	413
2020-03-24	201	1	413
2020-03-25	34	0	413
2020-03-26	15	0	413
2020-03-27	12	1	413
2020-03-30	14	1	413
2020-03-31	14	1	413
2020-04-01	10	0	413
2020-04-02	13	0	413
2020-04-03	9	0	413
2020-04-06	13	0	413
2020-04-08	2	1	413
2020-04-09	1	1	413
2020-04-14	1	1	413
2020-04-15	1	1	413
2020-04-16	1	1	413
2020-04-17	1	5	413
2020-04-20	0	5	413
2020-04-21	0	5	413
2020-04-22	0	1	413
2020-04-23	0	4	413
2020-04-24	0	5	413
2020-04-27	2	4	413
2020-04-28	0	6	413
2020-04-29	0	3	413
2020-04-30	0	5	413
2020-05-04	0	2	413
2020-05-05	0	2	413
2020-05-06	0	4	413
2020-05-18	0	2	413
2020-05-19	0	13	413
2020-05-25	0	6	413
2020-05-26	0	18	413
2020-05-27	0	23	413
2020-05-28	0	29	413
2020-05-29	0	29	413
2020-06-04	1	62	413
2020-06-05	1	55	413
2020-06-08	1	105	413
2020-06-09	1	116	413
2020-06-10	1	134	413
2020-06-11	1	28	413
2020-06-12	3	3	413
2020-06-15	3	3	413
2020-06-16	2	3	413
